それ,"that, that one"
きゅうきゅうしゃ,ambulance
おりる,"go down, come down"
くだもの,fruit
まちがい,"mistake, error"
あなた,you
えいがかん,movie theater
おどる,dance
こわい,"fearful, be afraid"
かがみ,mirror
くさ,"grass, weed"
けいご,"honorific language, polite speech"
けっせき,"absence, nonattendance"
スイッチ,switch
そうじ,cleaning
たたみ,"tatami, mat"
はやさ,speed
はやし,"woods, grove"
プレゼント,"present, gift"
べんとう,"box lunch, picnic lunch"
いつでも,"always, at all times"
さびしい,"lonely, desolate, sad"
すこしも,at all
そんけい,"respect, esteem, honor"
テニス,tennis
ひろさ,"area, extent"
よみ,"reading, judgment, foresight"
うえる,"plant, raise"
がまん,"patience, self-restraint"
こくせき,"nationality, citizenship"
こちら,"here, this way"
はずかしい,"shy, ashamed, disgraceful"
ボタン,button
ようふく,clothes
あぶら,"oil, animal oil"
おかしい,"funny, amusing, comical"
あまる,"remain over, be in excess"
コート,court
しょうじき,"honest, upright"
ドラマ,"drama, theater, soap opera"
ビザ,visa
すいどう,"water service, channel"
てんいん,"clerk, salesperson"
でんち,"electric cell, battery"
ポケット,pocket
あくしゅ,"handshake, handshaking"
かたい,"stiff, tight"
そろそろ,"soon, quietly"
ぶどう,grapes
まよう,"be perplexed, hesitate, get lost"
おさえる,hold down
けんぶつ,"sightseeing, visit"
しらせる,"let know, inform"
じんじゃ,Shinto shrine
ちゅうしゃ,"injection, shot"
めったに,rarely
こいびと,"lover, sweetheart"
さいふ,"purse, wallet"
さくぶん,"composition, essay"
なる,"sound, ring, roar"
まじめ,"serious, sober, earnest"
もうしこむ,"apply, make a proposal"
れいぞうこ,refrigerator
きにいる,"like, be pleased with"
クリスマス,Christmas
ネクタイ,"tie, necktie"
あつさ,thickness
うけつける,"receive, accept"
たんじょうび,birthday
どくしん,"single life, celibacy"
にがい,"bitter, sour"
バイオリン,violin
パスポート,passport
バッグ,bag
いままで,"until now, so far"
きっぷ,ticket
ゴム,elastic
ジェットき,jet airplane
しょうしょう,"a little, a few"
ずいぶん,"extremely, considerably"
ひっぱる,"pull, drag"
ぼうし,"cap, hat"
やける,"burn, be scorched, be baked"
えんぴつ,pencil
かいわ,conversation
ギター,guitar
ちゃ,tea (plain form)
あつさ,"heat, summer heat"
い,stomach
いす,chair
おちゃ,tea (polite)
おどり,"dance, dancing"
きんえん,"no smoking, giving up smoking"
じなん,second son
セーター,"sweater, pullover"
ひっこす,"move, change quarters"
まるい,round
うつる,"be taken, be seen through"
きっさてん,"coffee shop, tea house, café"
ぜんぜん,"wholly, at all"
やっぱり,"just as I thought, after all"
しゅうかんし,weekly magazine
たな,"cupboard, shelf, rack"
ふるえる,"tremble, quiver, shake"
みがく,"polish, grind"
カーテン,curtain
かじ,fire
シャツ,shirt
ナイフ,knife
みなさん,"everybody, ladies and gentlemen"
じじょ,second daughter
ちょきん,"savings, deposit"
バイク,"motorbike, motor cycle"
あずかる,"receive on deposit, take charge of"
いつか,"some time, some day"
オレンジ,orange
かむ,"bite, chew"
きつい,"tight, difficult"
けずる,"grind down, trim, scale back"
こえる,"go over, go across, go beyond"
こづつみ,"parcel, package"
しんねん,New Year
はいたつ,delivery
どうぶつえん,zoo
ふうとう,envelope
あぶない,"dangerous, uncertain"
かわいい,"cute, charming, sweet"
さっき,"some time ago, only a moment ago"
しゅくだい,homework
テキスト,"textbook, text, text file"
ビニール,plastic bag
りんご,apple
アルバム,album
おじいさん,grandfather
すいえい,swimming
こむ・こむ,"be crowded, be congested"
じゅうどう,judo
スカート,skirt
とれる,"come off, be removed"
ペン,pen
もの,"thing, object"
やわらかい,soft
ゆうびん,"mail service, postal matter"
われる,"crack, be divided, split"
えきいん,station employee
おしゃべり,"chatter, talkative"
きって,postage stamp
みどりいろ,green
まいあさ,every morning
まげる,"bend, curve"
ようちえん,kindergarten
きっと,"surely, certainly"
りか,science
したぎ,underwear
すずしい,"cool, refreshing"
ふとる,"grow fat, fatten"
れいぼう,air conditioning
わかれる,"separate, part from"
あく,become available or vacant
かぎ,"key, lock"
かさ,"umbrella, parasol"
でかける,"go out, be about to go out"
まいばん,every evening
まんなか,"center, middle"
ゆびわ,ring
いくつ,"how many, how old"
くさる,"rot, corrode"
びんぼう,"poverty, destitution"
まちがえる,"mistake, confuse"
メニュー,"menu, bill of fare"
アイスクリーム,ice cream
おしゃれ,"dressing up smartly, trendy"
きゅうけい,"rest, repose"
した,tongue
ジュース,"juice, soft drink"
すばらしい,"splendid, excellent"
ゼロ,zero
ちょうかん,morning edition
ていねい,"polite, courteous, careful"
にがて,"person that is hard to deal with, weak point"
ひ,"sun, sunlight, day"
ひっこし,moving
ほどう,"sidewalk, footpath"
おれる,"snap, be folded, give in"
みおくり,seeing someone off
ゆうかん,evening edition
このあいだ,"the other day, recently"
ひえる,"cool down, feel chilly"
ピンク,pink
グラス,glass
け,"hair, wool"
こくばん,blackboard
ダンス,"dance, dancing"
つもる,"accumulate, get accumulated"
はんとし,half a year
でぐち,"exit, exit ramp"
のぼる,"climb, mount, go up"
まっしろ,pure-white
おじ,uncle
おろす,"bring down, take down, pull down"
かしだす,"lend, lend out"
サッカー,"soccer, football"
だんぼう,heating
てぶくろ,gloves
るす,not at home
うそ,lie
えんりょ,"reserve, hesitation, forethought"
おる,"break off, fold, bend"
こんや,"tonight, this evening"
スープ,"soup, broth"
バナナ,banana
うるさい,"noisy, annoying, pesky"
かわいそう,"poor, pitiable"
パトカー,"police car, patrol car"
ハンバーガー,hamburger
もうふ,blanket
エスカレーター,escalator
おじょうさん,"young lady, your daughter"
タオル,towel
てちょう,"pocketbook, memo"
のりかえる,"change, transfer"
ばいてん,"booth, store"
パチンコ,pachinko (vertical pinball)
びじん,beautiful woman
ほんや,"bookstore, bookseller"
みかん,"tangerine, mandarin orange"
あやまる,apologize
ケーキ,cake
コップ,"cup, glass"
しき,the four seasons
たんぼ,rice field
てんきよほう,weather forecast
ナイロン,nylon
へん,"strange, weird, funny"
らいしゅう,next week
いっしょうけんめい,"for life, with all one's might"
かわく,"dry, run dry"
さら,"plate, counter for plates or helpings"
まちがう,"be mistaken, be incorrect"
じむしつ,office
しょうぼうしゃ,fire engine
スーツ,suit
チケット,ticket
チョコレート,chocolate
どろぼう,"thief, crook"
ぬぐ,"remove clothes, take off"
ねんがじょう,New Year's card
のりもの,"vehicle, conveyance"
ふとん,"futon, bedquilt"
やくにたつ,"be useful, be helpful"
やぶれる,"tear, rip open"
ようじ,"things to do, errand, business"
うつす,"copy, photograph"
うでどけい,wrist watch
おくりもの,"present, gift"
チャンネル,channel
つまらない,"boring, dull"
マッチ,"match, matchbox"
いとこ,cousin
ひやす,"cool, chill"
かたづける,"put in order, dispose of, do away with"
かんぱい,a toast
ストーブ,"paraffin heater, stove"
ていしゃ,stoppage
なく,"cry, chirp, meow"
ガソリンスタンド,gas station
かたみち,one way
けさ,this morning
こうばん,police box
だいぶ,"very, greatly"
つゆ,rainy season
デート,date
ふすま,"sliding door, fusuma"
まっすぐ,"dead straight, honestly"
レモン,lemon
うわぎ,"coat, jacket"
えらい,"great, famous, eminent"
かきかた,"how to write, way of writing"
たく,"cook, boil"
チーズ,cheese
ドライブ,drive
ふみきり,railroad crossing
ラケット,racket
うけつけ,"receptionist, information office"
おこる,"get angry, scold"
けしょう,"make up, put on makeup"
すし,sushi
スチュワーデス,flight attendant
つごう,circumstances
テープレコーダー,"tape recorder, cassette recorder"
ひげ,"moustache, beard"
ほんだな,bookshelf
まっくら,pitch-dark
わく,"boil, be excited"
うりきれる,"be sold out, go out of stock"
おしいれ,closet
かわ,leather
ぐっすり,soundly
こうちゃ,black tea
じゃま,disturbing
ソース,"sauce, Worcestershire sauce"
タイプライター,typewriter
たす,"add, supplement"
トマト,tomato
はく,"put on footwear, wear"
バター,butter
はっしゃ,"start, leave"
バレーボール,volleyball
おかず,side dish
カレンダー,calendar
さらいねん,the year after next
じょうだん,joke
ちかづく,"approach, get acquainted"
でんわちょう,telephone book
ハンドバッグ,handbag
ベル,bell
ほす,"dry, desiccate"
インク,ink
か,mosquito
かいさつぐち,"ticket barrier, wicket"
かなしむ,"feel sad, lament"
クーラー,"air conditioning, cooler"
くつした,"socks, stockings"
しつれい,"impoliteness, bad manners, I beg your parden/Goodbye"
せいれき,"Christian Era, A.D."
せんたくき,washing machine
とうふ,tofu
ひるね,"siesta, nap"
ふべん,inconvenient
ミルク,"milk, baby milk"
むこうがわ,other side
おく,hundred million
おれい,"thanks, reward, return present"
きせる,"dress, put on clothes"
サラダ,salad
やおや,"vegetable store, greengrocer"
おじさん,uncle
かえる,"substitute, use in place of"
きゅうこう,"express train, going in a hurry"
こうさてん,"crossing, intersection"
こうとうがっこう,senior high school
さめる,"awake, wake up"
ひるやすみ,"noon recess, lunch break"
ベルト,belt
まっくろ,"deep-black, jet-black"
みなさま,"everyone, ladies and gentlemen"
ラーメン,ramen (Chinese noodles)
ライター,lighter
ワイシャツ,"(business) shirt, (white) shirt"
ころぶ,"tumble down, fall over"
さめる,"cool off, subside"
シャワー,shower
せんぷうき,electric fan
ちこく,"tardiness, lateness"
つる,"angle, fish"
うどん,"noodles, Japanese wheat noodles"
おいこす,"outrun, overtake"
かな,"kana, Japanese syllabary"
かない,my wife
きねんび,"memorial day, anniversary"
くだり,"downhill, going down"
けいじばん,"notice board, bulletin board"
こおる,"freeze, congeal"
ごみ,"rubbish, trash"
しょうぼうしょ,fire station
スーパーマーケット,supermarket
ハンカチ,handkerchief
ビデオテープ,videotape
ぶらぶら,"wander aimlessly, hang about"
アナウンサー,"news reader, announcer"
じしょ,dictionary
じすい,cooking food for oneself
とめる,"stop, turn off"
スプーン,spoon
としした,"younger, junior"
なおす,"cure, heal"
はし,chopsticks
はなみ,flower viewing
ひきだし,"drawer, withdrawal"
ブラウス,blouse
やく,"translation, rendering"
リボン,ribbon
いかが,"how, what"
いる,be present
こうつうひ,"traveling expense, transportation cost"
ステレオ,stereo
すべる,"slide, slip, flunk an examination"
はやくち,fast talking
フォーク,fork
うらがえす,"turn over, turn inside out"
おば,aunt
かど,"corner, edge, angle"
きらきら,"shining, sparkling"
さんかく,triangle
どうぞ,please
としょしつ,library
にゅうじょうけん,entrance ticket
ネックレス,necklace
パジャマ,pajamas
ボールペン,ballpoint pen
まんねんひつ,fountain pen
やわらか,"soft, tender, gentle"
さます,"awaken, wake up"
すいか,watermelon
そちら,"there, that way"
そば,"buckwheat noodles, soba"
たいてい,"generally, mostly"
とっきゅう,super-express
どっち,which
のり,"glue, starch"
バスケットボール,basketball
はれ,"fine weather, clear sky"
ほしがる,"desire, wish for, covet"
みそしる,miso soup
よみかた,"way of reading, reading"
いや,"dislike, have a dislike for"
いりぐち,entrance
いろいろ,in various ways
おろす,"unload, set down"
かかる,"hang, splash, require"
サンドイッチ,sandwich
しかく,"square, quadrilateral"
しかくい,"square, four-sided"
つきあたる,"hit against, come to the end of"
ていきけん,commuter's pass
にこにこ,smile
ばか,"fool, nonsense"
みょうじ,"surname, family name"
くだる,"go down, go down or away from a central place"
ウール,wool
コーラ,"cola, coke"
トイレットペーパー,toilet paper
どなた,who
のりかえ,"change, transfer"
ハイキング,hiking
はいざら,ashtray
ばすてい,bus stop
ハム,ham
ボーイフレンド,boyfriend
ゆか,floor
れいぶん,"illustrative sentence, example"
ろーまじ,Roman alphabet
アイロン,iron
いちご,strawberry
カレーライス,curried rice
キャッシュカード,cash card
くもり,"cloudiness, cloudy weather"
さかな,fish
しお,salt
ていりゅうじょ,"stop, station"
とこや,"barber, barbershop"
はいしゃ,dentist
はみがき,"toothpaste, brushing one's teeth"
はやおき,early rising
ふゆやすみ,winter vacation
もっていく,take
ゆうはん,"evening meal, supper"
よっぱらい,"drunkard, boozer"
れい,"example, precedent"
イヤリング,earrings
おうだんほどう,"pedestrian crossing, crosswalk"
おじぎ,bow
おたく,"your home, you, fan, geek"
ガールフレンド,girlfriend
カセットテープ,cassette tape
かゆい,itchy
かわかす,dry
きゅうこう,temporary closure of school
ぐらぐら,wobble
こうくうびん,airmail
ジャム,jam
スリッパ,slippers
だいきらい,hate
たたむ,"fold, shut"
トランプ,"(a pack of) cards, (playing) cards"
ばんざい,Banzai! Hurrah! Long live...!
ばんち,"lot number, address"
ひかげ,the shade
びよういん,beauty shop
ぶんぼうぐ,"stationery, writing materials"
めんきょしょう,license
やくす,translate
よろしい,all right
ラッシュアワー,rush hour
りょうがえ,"money changing, exchange of money"
あした,tomorrow
おくりがな,kana suffix
かたづく,"be put in order, be settled"
カップ,cup
けしごむ,eraser
しゅじん,"master, husband"
スケート,"skate, skates"
たくさん,"in large quantity, plenty"
なか,"inside, middle"
なべ,"pan, saucepan"
なまける,"be lazy, neglect"
にかい,"second floor, upstairs"
ねぼう,"late riser, oversleeping"
はさみ,"scissors, pincers, tongs"
はたけ,"field, vegetable garden"
ピクニック,picnic
まっさお,"deep-blue, pale (skin)"
よごす,"make dirty, soil"
よっぱらう,get drunk
わすれもの,"something left behind, lost item"
あちら,way over there
かけざん,multiplication
くさい,"ill-smelling, stinking"
じしゅう,"self-study, self-teaching"
つきあたり,end of a street
どきどき,"feel excited, feel nervous"
なくす,"lose, get rid of"
なっとう,natto (fermented soybeans)
はたち,20 years old
ひがし,"east, eastern"
まあまあ,"OK, not bad, average"
マフラー,"scarf, muffler"
もも,"peach, peach tree"
アクセサリー,"accessories, jewelry"
あくび,yawn
あめ,"candy, sweets"
うりきれ,"sellout, sold out"
おまわりさん,policeman
からから,"thirsty, dry"
きいろ,yellow
さそう,"invite, ask out"
そくたつ,"special delivery, express mail"
は,"tooth, cog"
ひきざん,subtraction
ひるまえ,"in the morning, before noon"
ふらふら,weak
めざましどけい,alarm clock
よしゅう,"preparation, previewing (a lesson)"
こぼす,spill
ランチ,lunch
レシート,receipt
もってくる,bring
きをつける,"take care of, pay attention to"
さしみ,"sashimi, sliced raw meat"
せんめんじょ,"washroom, bathroom"
たしざん,addition
だんだん,"gradually, one after another"
チョーク,chalk
つつむ,"wrap, pack"
ティッシュ,tissue
とまる,"come to a stop, cease"
なくなる,"disappear, run short, get lost"
にし,"west, western"
ノック,knock
はぶらし,toothbrush
ひま,"free time, spare time"
ぶた,"pig, pork"
ふたり,two persons
ほめる,"praise, commend"
ほんばこ,bookcase
やむ,"stop, abate"
よろしく,"properly, one's regards"
わかす,"boil, excite"
あさって,day after tomorrow
いくら,how much
えはがき,picture postcard
あたためる,"warm, warm up, heat up"
おととい,day before yesterday
かえる,"exchange, convert"
かきとめ,registered mail
がらがら,empty
かんづめ,"canned goods, cooping-up"
ぎらぎら,"dazzling, glaring, blinding"
く,nine
けが,injury
さむさ,"coldness, cold"
しゅくじつ,"holiday, festival day"
すきやき,sukiyaki
そっち,"there, thou"
はがき,postcard
はく,"sweep, brush"
ひるま,"daytime, day"
ピンポン,"table tennis, ping pong"
ふかさ,"depth, profundity"
ふしんせつ,"unkind, inattentive"
ぺこぺこ,"hungry, starving"
ぺらぺら,fluently
よこがき,horizontal writing
レインコート,raincoat
アイス,"popsicle, ice lolly"
いつごろ,"about when, about what time"
ウィスキー,whisky
エアメール,airmail
じ,"character, letter"
しおからい,salty
しち,seven
シャープペンシル,mechanical pencil
セロテープ,"cellophane tape, Scotch tape, Sellotape"
そとがわ,"exterior, outside"
そばや,soba restaurant
たばこや,"cigarette shop, tobacco store"
にわ,"garden, court"
はやる,"be in fashion, be popular"
ひだりがわ,left side
ふくろ,"bag, sack"
ふろや,"bathhouse, public bath"
ほね,"bone, frame, spirit"
みぎがわ,right side
めがね,"glasses, judgment"
やけど,burn
よごれ,"dirt, filth"
わりざん,division
アイスコーヒー,iced coffee
あいだ,interval
あご,"jaw, chin"
あさごはん,breakfast
あたたまる,get warm
あっち,"other side, there"
あんなに,"that, so"
いき,going
いたずら,"mischief, prank"
ウェートレス,waitress
おいわい,celebrate
おかし,"sweets, snacks"
おつり,change
おとなしい,"gentle, quiet, subdued"
おばあさん,grandmother
おばさん,aunt
おみやげ,souvenir
おもて,"front side, face, outside"
かきとる,"write down, note down"
とめる,"lodge, give shelter"
かしゅ,singer
かぜぐすり,remedy for a cold
かた,person　（polite form)
かたち,"shape, form"
かばん,"bag, handbag, briefcase"
かぶる,"wear, put on"
かみなり,"thunder, lightning"
あがる,"get nervous, get stage fright"
からて,"karate, empty hand"
かん,"can, tin"
がんたん,New Year's Day
きがえる,change clothes
きびしい,"strict, severe, intense"
きゃく,"visitor, customer"
きん,"gold, sum of money, Friday"
くし,comb
くも,cloud
クリーニング,"cleaning, laundry"
けしき,"scenery, landscape"
けんか,"fight, quarrel, argument"
こたえ,"answer, solution"
ごちそう,"feast, treat"
ごちそうする,treat
このごろ,"now, these days, recently"
こぼれる,"spill, overflow"
こわれる,"break, break down, get out of order"
こんなに,"this, so, such"
ざあざあ,"heavily, pouring"
さらいげつ,the month after next
さらいしゅう,the week after next
さわぐ,"make a racket, mess around, make a fuss"
ざんねん,"regretful, disappointing"
しかる,"scold, tell off, reprimand"
しまう,put away
しめい,name
ジャガイモ,potato
しゃどう,"road, roadway"
じょうぶ,"healthy, stout"
しょうゆ,soy sauce
しろ,white
しんぱい,"anxiety, worry, good offices"
せっけん,soap
せんたく,"laundering, washing"
そうじき,vacuum cleaner
そで,sleeve
そと,"outside, open air"
そふ,grandfather
ソファー,"sofa, sofa bed"
そぼ,grandmother
そら,"sky, weather"
そる,shave
だい,"stand, platform"
だいじ,importance
たいせつ,"important, valuable"
たおす,"bring down, overthrow, defeat"
たすける,"help, save"
たばこ,"tobacco, cigarette"
だれか,someone
ち,blood
ちゃわん,"tea cup, rice bowl"
ちゅうしょく,lunch
ちょうじょ,eldest daughter
ちょうしょく,breakfast
ちょうど,"just, as if"
ちょっと,"just a moment, just a little, easily"
つく,"be on, switched on"
つくえ,"desk, table"
つとめる,"serve, hold a job"
つめ,"nail, claw"
てら,buddhist temple
てんぷら,"tempura, Japanese deep-fried breaded food"
としうえ,"older, senior"
とり,"bird, poultry"
とんとん,tapping
ながそで,clothes with long sleeves
なす,eggplant
なん,"what, which"
にいさん,older brother
にぎやか,"lively, exciting"
にく,"flesh, meat"
にわとり,"chicken, hen"
にんき,"popularity, temperament of the people, business conditions"
にんげん,"human being, people"
にんじん,carrot
ぬるい,"tepid, lukewarm"
ぬれる,get wet
ねえさん,"older sister, girl, miss"
ねむい,sleepy
ねむる,sleep
のぼり,"going up, ascent"
パーセント,percent
はい,ashes
はいいろ,"ash color, gray"
はくしゅ,"applause, clapping"
はし,bridge
はじめ,beginning
はしら,"pillar, prop"
はた,"flag, banner"
はる,"stick, paste"
はんそで,short-sleeved shirt
はんつき,half a month
はんにち,half a day
ひ,fire
ひく,play on
ひざ,knee
ひじ,elbow
ひとびと,people
ひも,"laces, string, rope"
ひょう,"table, list"
ひるすぎ,early afternoon
びん,"bottle, flask"
ふく,"wipe, dry"
ふくしゅう,review
ぶたにく,"pork, hog meat"
ふなびん,"surface mail, shipping service"
ふね,"ship, boat, vessel"
ふる,"fall, come down"
ふろ,bath
へいせい,Heisei era
へた,not good at
へんじ,"answer, reply"
べんじょ,"lavatory, bathroom"
ほし,"star, planet, spot"
ほんとう,"truth, reality"
まいつき,every month
まく,"scatter, plant"
まくら,pillow
まご,grandchild
また,"again, also, or"
まち,"town, machi, city quarter"
まる,"circle or sphere, wholeness"
みなと,"port, harbor"
みなみ,south
むらさき,purple
めい,niece
もめん,cotton
やかん,kettle
やく,"burn, bake, be envious"
やせる,"lose weight, become thin"
やま,mountain
ゆ,"hot water, hot bath, bathhouse"
ゆうしょく,supper
ゆうべ,"last night, last evening"
ゆき,going
ゆび,"finger, toe"
ゆるい,"slack, loose"
よい,"good, suitable, preferable"
ようこそ,welcome
よごれる,"become dirty, become defiled"
よつかど,"street corner, intersection"
よなか,"midnight, dead of night"
りょうしん,parents
れい,"zero, naught"
まがりかど,corner
ウェーター,waiter
おいしゃさん,doctor
こまか,"minute, elaborate"
ぜったいに,"absolutely, unconditionally"
そんなに,"that, so"
つれていく,take (a person) along
つれてくる,bring (a person)
にている,"look like, resemble"
おと,"sound, speech sound, Chinese pronunciation of a character"
はじめに,"in the beginning, early in"
ひとりで,by oneself
ふどうさんや,"real estate agent, realtor"
ゆうびんやさん,mailman
か,"permitted, OK"
