Core-index,JLPT,vocab-kanji,vocab-hirigana,vocab-romanji,vocab-meaning,vocab-pos
1249,JLPT2,電池,でんち,,"electric cell, battery",Noun
1250,JLPT4,ポケット,ポケット,,pocket,Noun
1251,JLPT2,握手,あくしゅ,,"handshake, handshaking",Verbal Noun
1252,JLPT2,固い,かたい,,"stiff, tight",Adjective
1253,JLPT3,そろそろ,そろそろ,,"soon, quietly",Adverb
1254,JLPT3,ぶどう,ぶどう,,grapes,Noun
1255,JLPT2,迷う,まよう,,"be perplexed, hesitate, get lost",Verb
1256,JLPT0,押さえる,おさえる,,hold down,Verb
1257,JLPT3,見物,けんぶつ,,"sightseeing, visit",Verbal Noun
1258,JLPT3,知らせる,しらせる,,"let know, inform",Verb
1259,JLPT3,神社,じんじゃ,,Shinto shrine,Noun
1260,JLPT3,注射,ちゅうしゃ,,"injection, shot",Verbal Noun
1261,JLPT0,めったに,めったに,,rarely,Adverb
1262,JLPT2,恋人,こいびと,,"lover, sweetheart",Noun
1263,JLPT3,財布,さいふ,,"purse, wallet",Noun
1264,JLPT4,作文,さくぶん,,"composition, essay",Noun
1265,JLPT3,鳴る,なる,,"sound, ring, roar",Verb
1266,JLPT2,真面目,まじめ,,"serious, sober, earnest",Adjectival Noun
1267,JLPT2,申し込む,もうしこむ,,"apply, make a proposal",Verb
1268,JLPT4,冷蔵庫,れいぞうこ,,refrigerator,Noun
1269,JLPT2,気に入る,きにいる,,"like, be pleased with",Verb
1270,JLPT2,クリスマス,クリスマス,,Christmas,Noun
1271,JLPT4,ネクタイ,ネクタイ,,"tie, necktie",Noun
1272,JLPT0,厚さ,あつさ,,thickness,Noun
1273,JLPT1,受け付ける,うけつける,,"receive, accept",Verb
1274,JLPT4,誕生日,たんじょうび,,birthday,Noun
1275,JLPT2,独身,どくしん,,"single life, celibacy",Noun
1276,JLPT3,苦い,にがい,,"bitter, sour",Adjective
1277,JLPT2,バイオリン,バイオリン,,violin,Noun
1278,JLPT2,パスポート,パスポート,,passport,Noun
1279,JLPT2,バッグ,バッグ,,bag,Noun
1280,JLPT0,今まで,いままで,,"until now, so far",Adverb
1281,JLPT4,切符,きっぷ,,ticket,Noun
1282,JLPT2,ゴム,ゴム,,elastic,Noun
1283,JLPT2,ジェット機,ジェットき,,jet airplane,Noun
1284,JLPT2,少々,しょうしょう,,"a little, a few",Adverb
1285,JLPT2,随分,ずいぶん,,"extremely, considerably",Adverb
1286,JLPT2,引っ張る,ひっぱる,,"pull, drag",Verb
1287,JLPT4,帽子,ぼうし,,"cap, hat",Noun
1288,JLPT3,焼ける,やける,,"burn, be scorched, be baked",Verb
1289,JLPT4,鉛筆,えんぴつ,,pencil,Noun
1290,JLPT3,会話,かいわ,,conversation,Verbal Noun
1291,JLPT4,ギター,ギター,,guitar,Noun
1292,JLPT2,茶,ちゃ,,tea (plain form),Noun
1293,JLPT0,暑さ,あつさ,,"heat, summer heat",Noun
1294,JLPT2,胃,い,,stomach,Noun
1295,JLPT2,椅子,いす,,chair,Noun
1296,JLPT4,お茶,おちゃ,,tea (polite),Noun
1297,JLPT3,踊り,おどり,,"dance, dancing",Noun
1298,JLPT2,禁煙,きんえん,,"no smoking, giving up smoking",Verbal Noun
1299,JLPT0,次男,じなん,,second son,Noun
1300,JLPT4,セーター,セーター,,"sweater, pullover",Noun
1301,JLPT3,引っ越す,ひっこす,,"move, change quarters",Verb
1302,JLPT4,丸い,まるい,,round,Adjective
1303,JLPT2,写る,うつる,,"be taken, be seen through",Verb
1304,JLPT4,喫茶店,きっさてん,,"coffee shop, tea house, café",Noun
1305,JLPT2,全然,ぜんぜん,,"wholly, at all",Adverb
1306,JLPT3,やっぱり,やっぱり,,"just as I thought, after all",Adverb
1307,JLPT0,週刊誌,しゅうかんし,,weekly magazine,Noun
1308,JLPT3,棚,たな,,"cupboard, shelf, rack",Noun
1309,JLPT2,震える,ふるえる,,"tremble, quiver, shake",Verb
1310,JLPT4,磨く,みがく,,"polish, grind",Verb
1311,JLPT3,カーテン,カーテン,,curtain,Noun
1312,JLPT3,火事,かじ,,fire,Noun
1313,JLPT4,シャツ,シャツ,,shirt,Noun
1314,JLPT4,ナイフ,ナイフ,,knife,Noun
1315,JLPT4,皆さん,みなさん,,"everybody, ladies and gentlemen",Noun
1316,JLPT0,次女,じじょ,,second daughter,Noun
1317,JLPT2,貯金,ちょきん,,"savings, deposit",Verbal Noun
1318,JLPT0,バイク,バイク,,"motorbike, motor cycle",Noun
1319,JLPT2,預かる,あずかる,,"receive on deposit, take charge of",Verb
1320,JLPT0,いつか,いつか,,"some time, some day",Adverb
1321,JLPT0,オレンジ,オレンジ,,orange,Noun
1322,JLPT2,噛む,かむ,,"bite, chew",Verb
1323,JLPT2,きつい,きつい,,"tight, difficult",Adjective
1324,JLPT2,削る,けずる,,"grind down, trim, scale back",Verb
1325,JLPT2,越える,こえる,,"go over, go across, go beyond",Verb
1326,JLPT2,小包,こづつみ,,"parcel, package",Noun
1327,JLPT0,新年,しんねん,,New Year,Noun
1328,JLPT2,配達,はいたつ,,delivery,Verbal Noun
1329,JLPT3,動物園,どうぶつえん,,zoo,Noun
1330,JLPT4,封筒,ふうとう,,envelope,Noun
1331,JLPT4,危ない,あぶない,,"dangerous, uncertain",Adjective
1332,JLPT0,可愛い,かわいい,,"cute, charming, sweet",Adjective
1333,JLPT3,さっき,さっき,,"some time ago, only a moment ago",Adverb
1334,JLPT4,宿題,しゅくだい,,homework,Noun
1335,JLPT3,テキスト,テキスト,,"textbook, text, text file",Noun
1336,JLPT2,ビニール,ビニール,,plastic bag,Noun
1337,JLPT0,りんご,りんご,,apple,Noun
1338,JLPT2,アルバム,アルバム,,album,Noun
1339,JLPT0,お祖父さん,おじいさん,,grandfather,Noun
1340,JLPT3,水泳,すいえい,,swimming,Verbal Noun
1341,JLPT0,混む・込む,こむ・こむ,,"be crowded, be congested",Verb
1342,JLPT3,柔道,じゅうどう,,judo,Noun
1343,JLPT4,スカート,スカート,,skirt,Noun
1344,JLPT2,取れる,とれる,,"come off, be removed",Verb
1345,JLPT4,ペン,ペン,,pen,Noun
1346,JLPT4,物,もの,,"thing, object",Noun
1347,JLPT3,柔らかい,やわらかい,,soft,Adjective
1348,JLPT2,郵便,ゆうびん,,"mail service, postal matter",Noun
1349,JLPT3,割れる,われる,,"crack, be divided, split",Verb
1350,JLPT0,駅員,えきいん,,station employee,Noun
1351,JLPT2,おしゃべり,おしゃべり,,"chatter, talkative",Verbal Noun
1352,JLPT4,切手,きって,,postage stamp,Noun
1353,JLPT0,緑色,みどりいろ,,green,Noun
1354,JLPT4,毎朝,まいあさ,,every morning,Noun
1355,JLPT2,曲げる,まげる,,"bend, curve",Verb
1356,JLPT2,幼稚園,ようちえん,,kindergarten,Noun
1357,JLPT3,きっと,きっと,,"surely, certainly",Adverb
1358,JLPT2,理科,りか,,science,Noun
1359,JLPT3,下着,したぎ,,underwear,Noun
1360,JLPT4,涼しい,すずしい,,"cool, refreshing",Adjective
1361,JLPT3,太る,ふとる,,"grow fat, fatten",Verb
1362,JLPT2,冷房,れいぼう,,air conditioning,Verbal Noun
1363,JLPT3,別れる,わかれる,,"separate, part from",Verb
1364,JLPT3,空く,あく,,become available or vacant,Verb
1365,JLPT2,鍵,かぎ,,"key, lock",Noun
1366,JLPT4,傘,かさ,,"umbrella, parasol",Noun
1367,JLPT2,出掛ける,でかける,,"go out, be about to go out",Verb
1368,JLPT4,毎晩,まいばん,,every evening,Noun
1369,JLPT0,真ん中,まんなか,,"center, middle",Noun
1370,JLPT3,指輪,ゆびわ,,ring,Noun
1371,JLPT2,幾つ,いくつ,,"how many, how old",Noun
1372,JLPT2,腐る,くさる,,"rot, corrode",Verb
1373,JLPT1,貧乏,びんぼう,,"poverty, destitution",Adjectival Noun
1374,JLPT3,間違える,まちがえる,,"mistake, confuse",Verb
1375,JLPT2,メニュー,メニュー,,"menu, bill of fare",Noun
1376,JLPT2,アイスクリーム,アイスクリーム,,ice cream,Noun
1377,JLPT2,おしゃれ,おしゃれ,,"dressing up smartly, trendy",Verbal Noun
1378,JLPT2,休憩,きゅうけい,,"rest, repose",Verbal Noun
1379,JLPT2,舌,した,,tongue,Noun
1380,JLPT2,ジュース,ジュース,,"juice, soft drink",Noun
1381,JLPT2,素晴らしい,すばらしい,,"splendid, excellent",Adjective
1382,JLPT4,ゼロ,ゼロ,,zero,Noun
1383,JLPT0,朝刊,ちょうかん,,morning edition,Noun
1384,JLPT3,丁寧,ていねい,,"polite, courteous, careful",Adjectival Noun
1385,JLPT2,苦手,にがて,,"person that is hard to deal with, weak point",Adjectival Noun
1386,JLPT3,日,ひ,,"sun, sunlight, day",Noun
1387,JLPT0,引っ越し,ひっこし,,moving,Verbal Noun
1388,JLPT2,歩道,ほどう,,"sidewalk, footpath",Noun
1389,JLPT3,折れる,おれる,,"snap, be folded, give in",Verb
1390,JLPT2,見送り,みおくり,,seeing someone off,Verbal Noun
1391,JLPT2,夕刊,ゆうかん,,evening edition,Noun
1392,JLPT0,この間,このあいだ,,"the other day, recently",Noun
1393,JLPT3,冷える,ひえる,,"cool down, feel chilly",Verb
1394,JLPT2,ピンク,ピンク,,pink,Noun
1395,JLPT2,グラス,グラス,,glass,Noun
1396,JLPT2,毛,け,,"hair, wool",Noun
1397,JLPT2,黒板,こくばん,,blackboard,Noun
1398,JLPT2,ダンス,ダンス,,"dance, dancing",Verbal Noun
1399,JLPT2,積もる,つもる,,"accumulate, get accumulated",Verb
1400,JLPT0,半年,はんとし,,half a year,Noun
1401,JLPT4,出口,でぐち,,"exit, exit ramp",Noun
1402,JLPT4,登る,のぼる,,"climb, mount, go up",Verb
1403,JLPT2,真っ白,まっしろ,,pure-white,Adjectival Noun
1404,JLPT0,おじ,おじ,,uncle,Noun
1405,JLPT0,下ろす,おろす,,"bring down, take down, pull down",Verb
1406,JLPT0,貸し出す,かしだす,,"lend, lend out",Verb
1407,JLPT0,サッカー,サッカー,,"soccer, football",Noun
1408,JLPT3,暖房,だんぼう,,heating,Verbal Noun
1409,JLPT3,手袋,てぶくろ,,gloves,Noun
1410,JLPT3,留守,るす,,not at home,Noun
1411,JLPT2,嘘,うそ,,lie,Noun
1412,JLPT3,遠慮,えんりょ,,"reserve, hesitation, forethought",Verbal Noun
1413,JLPT2,折る,おる,,"break off, fold, bend",Verb
1414,JLPT3,今夜,こんや,,"tonight, this evening",Noun
1415,JLPT2,スープ,スープ,,"soup, broth",Noun
1416,JLPT0,バナナ,バナナ,,banana,Noun
1417,JLPT3,うるさい,うるさい,,"noisy, annoying, pesky",Adjective
1418,JLPT0,可哀相,かわいそう,,"poor, pitiable",Adjectival Noun
1419,JLPT1,パトカー,パトカー,,"police car, patrol car",Noun
1420,JLPT0,ハンバーガー,ハンバーガー,,hamburger,Noun
1421,JLPT2,毛布,もうふ,,blanket,Noun
1422,JLPT3,エスカレーター,エスカレーター,,escalator,Noun
1423,JLPT3,お嬢さん,おじょうさん,,"young lady, your daughter",Noun
1424,JLPT2,タオル,タオル,,towel,Noun
1425,JLPT2,手帳,てちょう,,"pocketbook, memo",Noun
1426,JLPT3,乗り換える,のりかえる,,"change, transfer",Verb
1427,JLPT2,売店,ばいてん,,"booth, store",Noun
1428,JLPT1,パチンコ,パチンコ,,pachinko (vertical pinball),Noun
1429,JLPT2,美人,びじん,,beautiful woman,Noun
1430,JLPT0,本屋,ほんや,,"bookstore, bookseller",Noun
1431,JLPT0,みかん,みかん,,"tangerine, mandarin orange",Noun
1432,JLPT3,謝る,あやまる,,apologize,Verb
1433,JLPT2,ケーキ,ケーキ,,cake,Noun
1434,JLPT4,コップ,コップ,,"cup, glass",Noun
1435,JLPT2,四季,しき,,the four seasons,Noun
1436,JLPT0,田んぼ,たんぼ,,rice field,Noun
1437,JLPT3,天気予報,てんきよほう,,weather forecast,Noun
1438,JLPT2,ナイロン,ナイロン,,nylon,Noun
1439,JLPT3,変,へん,,"strange, weird, funny",Adjectival Noun
1440,JLPT4,来週,らいしゅう,,next week,Noun
1441,JLPT3,一生懸命,いっしょうけんめい,,"for life, with all one's might",Adverb
1442,JLPT3,乾く,かわく,,"dry, run dry",Verb
1443,JLPT2,皿,さら,,"plate, counter for plates or helpings",Noun
1444,JLPT0,間違う,まちがう,,"be mistaken, be incorrect",Verb
1445,JLPT0,事務室,じむしつ,,office,Noun
1446,JLPT0,消防車,しょうぼうしゃ,,fire engine,Noun
1447,JLPT2,スーツ,スーツ,,suit,Noun
1448,JLPT0,チケット,チケット,,ticket,Noun
1449,JLPT0,チョコレート,チョコレート,,chocolate,Noun
1450,JLPT3,泥棒,どろぼう,,"thief, crook",Verbal Noun
1451,JLPT4,脱ぐ,ぬぐ,,"remove clothes, take off",Verb
1452,JLPT0,年賀状,ねんがじょう,,New Year's card,Noun
1453,JLPT3,乗り物,のりもの,,"vehicle, conveyance",Noun
1454,JLPT3,布団,ふとん,,"futon, bedquilt",Noun
1455,JLPT3,役に立つ,やくにたつ,,"be useful, be helpful",Verb
1456,JLPT2,破れる,やぶれる,,"tear, rip open",Verb
1457,JLPT3,用事,ようじ,,"things to do, errand, business",Noun
1458,JLPT3,写す,うつす,,"copy, photograph",Verb
1459,JLPT0,腕時計,うでどけい,,wrist watch,Noun
1460,JLPT3,贈り物,おくりもの,,"present, gift",Noun
1461,JLPT1,チャンネル,チャンネル,,channel,Noun
1462,JLPT4,つまらない,つまらない,,"boring, dull",Adjective
1463,JLPT4,マッチ,マッチ,,"match, matchbox",Noun
1464,JLPT0,従兄弟,いとこ,,cousin,Noun
1465,JLPT2,冷やす,ひやす,,"cool, chill",Verb
1466,JLPT3,片付ける,かたづける,,"put in order, dispose of, do away with",Verb
1467,JLPT2,乾杯,かんぱい,,a toast,Verbal Noun
1468,JLPT4,ストーブ,ストーブ,,"paraffin heater, stove",Noun
1469,JLPT2,停車,ていしゃ,,stoppage,Verbal Noun
1470,JLPT4,鳴く,なく,,"cry, chirp, meow",Verb
1471,JLPT3,ガソリンスタンド,ガソリンスタンド,,gas station,Noun
1472,JLPT2,片道,かたみち,,one way,Noun
1473,JLPT4,今朝,けさ,,this morning,Noun
1474,JLPT4,交番,こうばん,,police box,Noun
1475,JLPT2,大分,だいぶ,,"very, greatly",Adverb
1476,JLPT2,梅雨,つゆ,,rainy season,Noun
1477,JLPT2,デート,デート,,date,Verbal Noun
1478,JLPT0,ふすま,ふすま,,"sliding door, fusuma",Noun
1479,JLPT2,真っ直ぐ,まっすぐ,,"dead straight, honestly",Adverb
1480,JLPT0,レモン,レモン,,lemon,Noun
1481,JLPT4,上着,うわぎ,,"coat, jacket",Noun
1482,JLPT2,偉い,えらい,,"great, famous, eminent",Adjective
1483,JLPT0,書き方,かきかた,,"how to write, way of writing",Noun
1484,JLPT2,炊く,たく,,"cook, boil",Verb
1485,JLPT2,チーズ,チーズ,,cheese,Noun
1486,JLPT2,ドライブ,ドライブ,,drive,Verbal Noun
1487,JLPT2,踏切,ふみきり,,railroad crossing,Noun
1488,JLPT2,ラケット,ラケット,,racket,Noun
1489,JLPT3,受付,うけつけ,,"receptionist, information office",Noun
1490,JLPT3,怒る,おこる,,"get angry, scold",Verb
1491,JLPT2,化粧,けしょう,,"make up, put on makeup",Verbal Noun
1492,JLPT0,寿司,すし,,sushi,Noun
1493,JLPT2,スチュワーデス,スチュワーデス,,flight attendant,Noun
1494,JLPT3,都合,つごう,,circumstances,Noun
1495,JLPT4,テープレコーダー,テープレコーダー,,"tape recorder, cassette recorder",Noun
1496,JLPT3,ひげ,ひげ,,"moustache, beard",Noun
1497,JLPT4,本棚,ほんだな,,bookshelf,Noun
1498,JLPT2,真っ暗,まっくら,,pitch-dark,Adjectival Noun
1499,JLPT3,沸く,わく,,"boil, be excited",Verb
1500,JLPT2,売り切れる,うりきれる,,"be sold out, go out of stock",Verb
1501,JLPT3,押し入れ,おしいれ,,closet,Noun
1502,JLPT2,革,かわ,,leather,Noun
1503,JLPT2,ぐっすり,ぐっすり,,soundly,Adverb
1504,JLPT2,紅茶,こうちゃ,,black tea,Noun
1505,JLPT2,邪魔,じゃま,,disturbing,Adjectival Noun
1506,JLPT1,ソース,ソース,,"sauce, Worcestershire sauce",Noun
1507,JLPT2,タイプライター,タイプライター,,typewriter,Noun
1508,JLPT3,足す,たす,,"add, supplement",Verb
1509,JLPT0,トマト,トマト,,tomato,Noun
1510,JLPT2,履く,はく,,"put on footwear, wear",Verb
1511,JLPT4,バター,バター,,butter,Noun
1512,JLPT2,発車,はっしゃ,,"start, leave",Verbal Noun
1513,JLPT0,バレーボール,バレーボール,,volleyball,Noun
1514,JLPT2,おかず,おかず,,side dish,Noun
1515,JLPT4,カレンダー,カレンダー,,calendar,Noun
1516,JLPT4,再来年,さらいねん,,the year after next,Noun
1517,JLPT2,冗談,じょうだん,,joke,Noun
1518,JLPT0,近付く,ちかづく,,"approach, get acquainted",Verb
1519,JLPT0,電話帳,でんわちょう,,telephone book,Noun
1520,JLPT2,ハンドバッグ,ハンドバッグ,,handbag,Noun
1521,JLPT3,ベル,ベル,,bell,Noun
1522,JLPT2,干す,ほす,,"dry, desiccate",Verb
1523,JLPT2,インク,インク,,ink,Noun
1524,JLPT2,蚊,か,,mosquito,Noun
1525,JLPT0,改札口,かいさつぐち,,"ticket barrier, wicket",Noun
1526,JLPT2,悲しむ,かなしむ,,"feel sad, lament",Verb
1527,JLPT2,クーラー,クーラー,,"air conditioning, cooler",Noun
1528,JLPT4,靴下,くつした,,"socks, stockings",Noun
1529,JLPT3,失礼,しつれい,,"impoliteness, bad manners, I beg your parden/Goodbye",Verbal Noun
1530,JLPT2,西暦,せいれき,,"Christian Era, A.D.",Noun
1531,JLPT0,洗濯機,せんたくき,,washing machine,Noun
1532,JLPT0,豆腐,とうふ,,tofu,Noun
1533,JLPT2,昼寝,ひるね,,"siesta, nap",Verbal Noun
1534,JLPT3,不便,ふべん,,inconvenient,Adjectival Noun
1535,JLPT2,ミルク,ミルク,,"milk, baby milk",Noun
1536,JLPT0,向こう側,むこうがわ,,other side,Noun
1537,JLPT3,億,おく,,hundred million,Noun
1538,JLPT3,お礼,おれい,,"thanks, reward, return present",Verbal Noun
1539,JLPT2,着せる,きせる,,"dress, put on clothes",Verb
1540,JLPT2,サラダ,サラダ,,salad,Noun
1541,JLPT4,八百屋,やおや,,"vegetable store, greengrocer",Noun
1542,JLPT0,おじさん,おじさん,,uncle,Noun
1543,JLPT2,代える,かえる,,"substitute, use in place of",Verb
1544,JLPT3,急行,きゅうこう,,"express train, going in a hurry",Noun
1545,JLPT2,交差点,こうさてん,,"crossing, intersection",Noun
1546,JLPT3,高等学校,こうとうがっこう,,senior high school,Noun
1547,JLPT2,覚める,さめる,,"awake, wake up",Verb
1548,JLPT3,昼休み,ひるやすみ,,"noon recess, lunch break",Noun
1549,JLPT2,ベルト,ベルト,,belt,Noun
1550,JLPT2,真っ黒,まっくろ,,"deep-black, jet-black",Adjectival Noun
1551,JLPT0,皆様,みなさま,,"everyone, ladies and gentlemen",Noun
1552,JLPT0,ラーメン,ラーメン,,ramen (Chinese noodles),Noun
1553,JLPT2,ライター,ライター,,lighter,Noun
1554,JLPT4,ワイシャツ,ワイシャツ,,"(business) shirt, (white) shirt",Noun
1555,JLPT2,転ぶ,ころぶ,,"tumble down, fall over",Verb
1556,JLPT2,冷める,さめる,,"cool off, subside",Verb
1557,JLPT2,シャワー,シャワー,,shower,Noun
1558,JLPT2,扇風機,せんぷうき,,electric fan,Noun
1559,JLPT2,遅刻,ちこく,,"tardiness, lateness",Verbal Noun
1560,JLPT3,釣る,つる,,"angle, fish",Verb
1561,JLPT2,うどん,うどん,,"noodles, Japanese wheat noodles",Noun
1562,JLPT2,追い越す,おいこす,,"outrun, overtake",Verb
1563,JLPT2,仮名,かな,,"kana, Japanese syllabary",Noun
1564,JLPT4,家内,かない,,my wife,Noun
1565,JLPT0,記念日,きねんび,,"memorial day, anniversary",Noun
1566,JLPT2,下り,くだり,,"downhill, going down",Noun
1567,JLPT0,掲示板,けいじばん,,"notice board, bulletin board",Noun
1568,JLPT2,凍る,こおる,,"freeze, congeal",Verb
1569,JLPT3,ごみ,ごみ,,"rubbish, trash",Noun
1570,JLPT2,消防署,しょうぼうしょ,,fire station,Noun
1571,JLPT0,スーパーマーケット,スーパーマーケット,,supermarket,Noun
1572,JLPT4,ハンカチ,ハンカチ,,handkerchief,Noun
1573,JLPT0,ビデオテープ,ビデオテープ,,videotape,Noun
1574,JLPT1,ぶらぶら,ぶらぶら,,"wander aimlessly, hang about",Adverb
1575,JLPT2,アナウンサー,アナウンサー,,"news reader, announcer",Noun
1576,JLPT4,辞書,じしょ,,dictionary,Noun
1577,JLPT0,自炊,じすい,,cooking food for oneself,Verbal Noun
1578,JLPT3,止める,とめる,,"stop, turn off",Verb
1579,JLPT4,スプーン,スプーン,,spoon,Noun
1580,JLPT0,年下,としした,,"younger, junior",Noun
1581,JLPT2,治す,なおす,,"cure, heal",Verb
1582,JLPT2,箸,はし,,chopsticks,Noun
1583,JLPT3,花見,はなみ,,flower viewing,Noun
1584,JLPT3,引き出し,ひきだし,,"drawer, withdrawal",Noun
1585,JLPT2,ブラウス,ブラウス,,blouse,Noun
1586,JLPT2,訳,やく,,"translation, rendering",Noun
1587,JLPT2,リボン,リボン,,ribbon,Noun
1588,JLPT3,いかが,いかが,,"how, what",Adverb
1589,JLPT4,居る,いる,,be present,Verb
1590,JLPT0,交通費,こうつうひ,,"traveling expense, transportation cost",Noun
1591,JLPT3,ステレオ,ステレオ,,stereo,Noun
1592,JLPT2,滑る,すべる,,"slide, slip, flunk an examination",Verb
1593,JLPT2,早口,はやくち,,fast talking,Noun
1594,JLPT4,フォーク,フォーク,,fork,Noun
1595,JLPT2,裏返す,うらがえす,,"turn over, turn inside out",Verb
1596,JLPT0,おば,おば,,aunt,Noun
1597,JLPT4,角,かど,,"corner, edge, angle",Noun
1598,JLPT0,きらきら,きらきら,,"shining, sparkling",Adverb
1599,JLPT2,三角,さんかく,,triangle,Noun
1600,JLPT4,どうぞ,どうぞ,,please,Adverb
1601,JLPT0,図書室,としょしつ,,library,Noun
1602,JLPT0,入場券,にゅうじょうけん,,entrance ticket,Noun
1603,JLPT2,ネックレス,ネックレス,,necklace,Noun
1604,JLPT1,パジャマ,パジャマ,,pajamas,Noun
1605,JLPT4,ボールペン,ボールペン,,ballpoint pen,Noun
1606,JLPT4,万年筆,まんねんひつ,,fountain pen,Noun
1607,JLPT0,柔らか,やわらか,,"soft, tender, gentle",Adjectival Noun
1608,JLPT2,覚ます,さます,,"awaken, wake up",Verb
1609,JLPT0,すいか,すいか,,watermelon,Noun
1610,JLPT4,そちら,そちら,,"there, that way",Noun
1611,JLPT4,そば,そば,,"buckwheat noodles, soba",Noun
1612,JLPT2,大抵,たいてい,,"generally, mostly",Adverb
1613,JLPT3,特急,とっきゅう,,super-express,Noun
1614,JLPT3,どっち,どっち,,which,Noun
1615,JLPT2,糊,のり,,"glue, starch",Noun
1616,JLPT0,バスケットボール,バスケットボール,,basketball,Noun
1617,JLPT2,晴れ,はれ,,"fine weather, clear sky",Noun
1618,JLPT0,欲しがる,ほしがる,,"desire, wish for, covet",Verb
1619,JLPT0,味噌汁,みそしる,,miso soup,Noun
1620,JLPT0,読み方,よみかた,,"way of reading, reading",Noun
1621,JLPT4,嫌,いや,,"dislike, have a dislike for",Adjectival Noun
1622,JLPT0,入り口,いりぐち,,entrance,Noun
1623,JLPT0,色々,いろいろ,,in various ways,Adjectival Noun
1624,JLPT2,降ろす,おろす,,"unload, set down",Verb
1625,JLPT2,掛かる,かかる,,"hang, splash, require",Verb
1626,JLPT3,サンドイッチ,サンドイッチ,,sandwich,Noun
1627,JLPT2,四角,しかく,,"square, quadrilateral",Adjectival Noun
1628,JLPT2,四角い,しかくい,,"square, four-sided",Adjective
1629,JLPT2,突き当たる,つきあたる,,"hit against, come to the end of",Verb
1630,JLPT2,定期券,ていきけん,,commuter's pass,Noun
1631,JLPT2,にこにこ,にこにこ,,smile,Adverb
1632,JLPT2,馬鹿,ばか,,"fool, nonsense",Adjectival Noun
1633,JLPT2,名字,みょうじ,,"surname, family name",Noun
1634,JLPT2,下る,くだる,,"go down, go down or away from a central place",Verb
1635,JLPT2,ウール,ウール,,wool,Noun
1636,JLPT0,コーラ,コーラ,,"cola, coke",Noun
1637,JLPT0,トイレットペーパー,トイレットペーパー,,toilet paper,Noun
1638,JLPT4,どなた,どなた,,who,Noun
1639,JLPT0,乗り換え,のりかえ,,"change, transfer",Verbal Noun
1640,JLPT2,ハイキング,ハイキング,,hiking,Verbal Noun
1641,JLPT4,灰皿,はいざら,,ashtray,Noun
1642,JLPT0,バス停,ばすてい,,bus stop,Noun
1643,JLPT0,ハム,ハム,,ham,Noun
1644,JLPT0,ボーイフレンド,ボーイフレンド,,boyfriend,Noun
1645,JLPT2,床,ゆか,,floor,Noun
1646,JLPT0,例文,れいぶん,,"illustrative sentence, example",Noun
1647,JLPT0,ローマ字,ろーまじ,,Roman alphabet,Noun
1648,JLPT2,アイロン,アイロン,,iron,Noun
1649,JLPT0,苺,いちご,,strawberry,Noun
1650,JLPT0,カレーライス,カレーライス,,curried rice,Noun
1651,JLPT0,キャッシュカード,キャッシュカード,,cash card,Noun
1652,JLPT0,曇り,くもり,,"cloudiness, cloudy weather",Noun
1653,JLPT4,魚,さかな,,fish,Noun
1654,JLPT4,塩,しお,,salt,Noun
1655,JLPT2,停留所,ていりゅうじょ,,"stop, station",Noun
1656,JLPT2,床屋,とこや,,"barber, barbershop",Noun
1657,JLPT3,歯医者,はいしゃ,,dentist,Noun
1658,JLPT2,歯磨き,はみがき,,"toothpaste, brushing one's teeth",Noun
1659,JLPT0,早起き,はやおき,,early rising,Verbal Noun
1660,JLPT0,冬休み,ふゆやすみ,,winter vacation,Noun
1661,JLPT0,持って行く,もっていく,,take,Verb
1662,JLPT3,夕飯,ゆうはん,,"evening meal, supper",Noun
1663,JLPT2,酔っ払い,よっぱらい,,"drunkard, boozer",Noun
1664,JLPT2,例,れい,,"example, precedent",Noun
1665,JLPT0,イヤリング,イヤリング,,earrings,Noun
1666,JLPT0,横断歩道,おうだんほどう,,"pedestrian crossing, crosswalk",Noun
1667,JLPT0,お辞儀,おじぎ,,bow,Verbal Noun
1668,JLPT3,お宅,おたく,,"your home, you, fan, geek",Noun
1669,JLPT0,ガールフレンド,ガールフレンド,,girlfriend,Noun
1670,JLPT0,カセットテープ,カセットテープ,,cassette tape,Noun
1671,JLPT2,かゆい,かゆい,,itchy,Adjective
1672,JLPT2,乾かす,かわかす,,dry,Verb
1673,JLPT0,休校,きゅうこう,,temporary closure of school,Verbal Noun
1674,JLPT0,ぐらぐら,ぐらぐら,,wobble,Adverb
1675,JLPT0,航空便,こうくうびん,,airmail,Noun
1676,JLPT3,ジャム,ジャム,,jam,Noun
1677,JLPT4,スリッパ,スリッパ,,slippers,Noun
1678,JLPT0,大嫌い,だいきらい,,hate,Adjectival Noun
1679,JLPT2,畳む,たたむ,,"fold, shut",Verb
1680,JLPT2,トランプ,トランプ,,"(a pack of) cards, (playing) cards",Verbal Noun
1681,JLPT2,万歳,ばんざい,,Banzai! Hurrah! Long live...!,Verbal Noun
1682,JLPT2,番地,ばんち,,"lot number, address",Noun
1683,JLPT2,日陰,ひかげ,,the shade,Noun
1684,JLPT0,美容院,びよういん,,beauty shop,Noun
1685,JLPT2,文房具,ぶんぼうぐ,,"stationery, writing materials",Noun
1686,JLPT0,免許証,めんきょしょう,,license,Noun
1687,JLPT2,訳す,やくす,,translate,Verb
1688,JLPT3,よろしい,よろしい,,all right,Adjective
1689,JLPT2,ラッシュアワー,ラッシュアワー,,rush hour,Noun
